SessionUID,SessionDate,SessionType,Venue,SourceStatus,PitchUID,PitchNo,UTCDateTime,PitcherId,PitcherName,BatterId,BatterName,TaggedPitchType,AutoPitchType,PitchCall,RelSpeed,SpinRate,SpinAxis,HorzBreak,InducedVertBreak,RelHeight,RelSide,Extension,PlateLocHeight,PlateLocSide,VertApprAngle,HorzApprAngle,ExitSpeed,Angle,Direction,Distance,HangTime,HitSpinRate,ContactPositionX,ContactPositionY,ContactPositionZ,TaggedHitType,Drill,Grip,Intent,BallType,BallWeightOz,TrainingBlock,Tags
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P011,11,2026-09-12T16:07:30+00:00,TM-999999,"Williams, Jake",,,Fastball,Fastball,InPlay,89.8,2296,207.9,6.3,10.3,5.89,1.79,6.29,3.26,0.83,-6.67,-1.01,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P012,12,2026-09-12T16:08:15+00:00,TM-999999,"Williams, Jake",,,Fastball,Fastball,StrikeCalled,86.9,2331,209.5,11.7,20.7,5.75,1.96,6.48,2.90,-0.36,-6.88,0.54,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P013,13,2026-09-12T16:09:00+00:00,TM-999999,"Williams, Jake",,,Slider,Slider,BallCalled,79.9,2531,217.1,1.7,13.6,5.84,1.88,6.02,1.58,-1.63,-7.00,1.37,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P014,14,2026-09-12T16:09:45+00:00,TM-999999,"Williams, Jake",,,Curveball,Curveball,StrikeSwinging,73.6,2438,180.1,6.6,15.4,5.74,1.95,6.18,2.05,-0.70,-6.78,-0.03,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P015,15,2026-09-12T16:10:30+00:00,TM-999999,"Williams, Jake",,,Fastball,Fastball,StrikeCalled,87.0,2123,196.1,8.6,16.8,5.85,1.83,6.10,3.51,0.44,-5.01,-0.43,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P016,16,2026-09-12T16:11:15+00:00,TM-999999,"Williams, Jake",,,Fastball,Fastball,BallCalled,86.7,2122,201.8,11.8,16.7,5.82,1.75,6.08,2.39,0.22,-5.12,0.56,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P017,17,2026-09-12T16:12:00+00:00,TM-999999,"Williams, Jake",,,ChangeUp,ChangeUp,InPlay,80.9,2495,212.8,12.3,13.6,5.92,1.79,6.07,2.65,1.93,-7.60,2.64,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P018,18,2026-09-12T16:12:45+00:00,TM-999999,"Williams, Jake",,,Fastball,Fastball,InPlay,85.8,2292,208.2,10.1,13.0,5.81,1.53,5.96,2.03,0.70,-4.85,1.14,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P019,19,2026-09-12T16:13:30+00:00,TM-999999,"Williams, Jake",,,Slider,Slider,FoulBall,75.5,2448,216.6,14.3,9.9,5.92,1.72,6.28,2.60,0.32,-5.29,0.76,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P020,20,2026-09-12T16:14:15+00:00,TM-999999,"Williams, Jake",,,Fastball,Fastball,BallCalled,86.7,2035,195.1,9.0,14.3,5.82,1.70,6.32,1.55,-0.28,-4.44,1.57,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P021,21,2026-09-12T16:15:00+00:00,TM-999999,"Williams, Jake",,,ChangeUp,ChangeUp,StrikeCalled,78.0,2439,209.9,5.6,13.5,5.86,2.09,6.15,3.70,0.22,-5.30,1.65,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P022,22,2026-09-12T16:15:45+00:00,TM-999999,"Williams, Jake",,,Fastball,Fastball,StrikeCalled,88.5,2086,199.2,4.3,13.2,5.81,2.02,6.27,2.78,-0.80,-5.81,1.14,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P023,23,2026-09-12T16:16:30+00:00,TM-999999,"Williams, Jake",,,Slider,Slider,BallCalled,78.2,2406,221.3,8.7,11.5,5.95,1.76,6.18,3.07,-0.19,-6.74,-0.74,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P024,24,2026-09-12T16:17:15+00:00,TM-999999,"Williams, Jake",,,Slider,Slider,BallCalled,75.5,2427,201.1,9.6,14.0,5.94,1.73,6.13,3.45,0.92,-7.65,1.11,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P025,25,2026-09-12T16:18:00+00:00,TM-999999,"Williams, Jake",,,Fastball,Fastball,StrikeCalled,87.4,2327,196.6,4.9,20.5,6.02,1.62,5.90,2.26,0.42,-6.79,-1.32,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P026,26,2026-09-12T16:18:45+00:00,TM-999999,"Williams, Jake",,,ChangeUp,ChangeUp,StrikeCalled,76.1,2397,199.1,4.5,18.6,5.90,1.58,6.20,3.39,-1.01,-6.12,0.48,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-999999,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-999999-P027,27,2026-09-12T16:19:30+00:00,TM-999999,"Williams, Jake",,,Curveball,Curveball,StrikeSwinging,74.2,2264,185.9,9.8,12.5,5.96,1.92,5.84,2.51,1.13,-5.54,0.45,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
